@relation weka.datagenerators.classifiers.classification.RandomRBF-S_4343_-n_2000_-a_2_-c_2_-C_5

@attribute a0 numeric
@attribute a1 numeric
@attribute class {c0,c1}

@data
0.378403,0.729434,c1
1.040425,0.492556,c0
0.172161,0.181528,c1
0.180602,0.155774,c1
-0.59706,-0.160645,c1
0.003789,0.798359,c1
0.046187,0.38291,c1
0.950586,-0.169822,c1
0.495913,0.628188,c1
-0.051833,0.202906,c1
1.160108,0.618904,c0
-0.297394,0.059207,c0
1.519544,1.098199,c1
1.123445,0.376527,c0
0.19624,0.147778,c1
-0.057669,-0.907481,c1
0.392715,1.190672,c1
0.557009,-0.290295,c1
-0.437012,-0.037812,c1
-0.61978,0.785302,c1
1.118509,0.775714,c0
0.81945,-0.834366,c1
0.824564,0.311308,c1
0.169997,-0.050738,c0
-0.268759,0.724425,c1
0.030621,-0.143972,c0
0.01251,0.136624,c0
0.298258,0.372445,c1
-0.11664,0.188917,c0
0.747939,0.676646,c0
1.237341,-0.428632,c1
0.771015,0.212685,c1
1.01632,0.770182,c0
0.264944,0.158434,c1
0.154653,0.215197,c1
-0.669158,0.203193,c1
-0.313805,0.077085,c1
0.20754,0.163214,c1
-0.016527,-0.03842,c0
0.822109,1.20245,c1
0.072651,0.059254,c0
0.019859,-0.017272,c0
0.851899,0.481416,c0
0.884073,0.167989,c0
0.958524,0.472391,c0
-0.076607,0.012204,c0
0.007103,0.235387,c1
-0.141588,-0.352214,c1
0.117203,0.033843,c1
0.337963,0.588101,c1
0.887342,0.543791,c0
0.430464,0.757752,c1
0.767561,1.200115,c1
0.828477,0.0086,c1
1.14485,0.828378,c0
0.364259,0.160466,c0
0.566994,0.71131,c0
0.24102,1.235451,c1
0.885,0.256624,c0
0.749889,0.538497,c1
0.933115,0.396851,c0
1.395528,-0.733578,c1
0.806659,0.613584,c0
0.126597,0.236292,c0
0.221395,0.187506,c1
0.176947,0.186979,c1
0.581867,0.746195,c0
-0.025954,0.239169,c1
-0.592489,-0.161058,c1
0.271936,0.646473,c1
1.696464,0.75972,c1
0.561939,0.865899,c1
0.951565,0.604453,c0
0.139065,0.15181,c1
0.948699,0.177061,c1
0.006133,0.351429,c1
0.352622,0.66489,c1
0.897079,0.516338,c0
-0.183366,-0.698859,c1
0.274252,0.26078,c1
0.049901,0.077464,c0
1.181565,-0.739306,c1
-0.509094,-0.698167,c1
-0.002703,0.134451,c0
-1.396391,-0.743294,c1
-0.302387,0.104638,c1
-0.776329,0.169843,c1
-0.098637,0.100349,c0
0.167051,0.229612,c0
0.352205,0.246083,c1
0.393973,0.792347,c1
1.060752,0.421941,c0
1.053976,0.907286,c0
0.425175,0.59109,c1
0.878727,0.452591,c1
0.256827,0.047289,c1
0.151958,0.245744,c1
0.822552,2.025302,c1
0.105379,0.203428,c1
0.819289,0.255802,c1
0.886947,0.534159,c0
0.579274,0.557401,c1
-0.008569,-0.431608,c1
1.666246,0.697023,c1
-1.798638,-0.547897,c1
0.131148,0.467678,c1
1.344358,-0.548838,c1
-0.231611,0.251741,c1
0.201012,0.179845,c1
0.175265,0.732673,c1
0.932279,0.582009,c0
0.987118,0.505873,c0
0.663172,0.527708,c0
-0.746524,0.959003,c1
0.151092,0.103402,c1
0.156747,0.333284,c1
-1.07262,-0.181304,c1
-0.111892,0.013549,c1
-0.014033,0.060968,c0
0.4684,0.534639,c1
0.223538,-0.172125,c1
0.463247,0.395705,c1
-0.03022,0.353113,c1
-1.027933,-0.734699,c1
0.060131,0.162631,c0
-0.775258,1.768539,c1
0.027398,0.123092,c1
-0.500558,1.241404,c1
0.03824,0.253745,c0
-0.073196,0.027894,c0
-0.875972,0.791776,c1
0.122173,0.815486,c1
0.313239,0.470563,c1
0.738987,0.479018,c1
0.518351,0.630918,c1
0.75166,0.334924,c0
0.274164,-0.13558,c0
-0.927617,-0.262233,c1
0.437014,0.768097,c1
0.001041,-0.112784,c1
0.465904,0.620595,c1
0.158197,-0.023266,c0
1.666488,0.943764,c1
-0.019724,0.123957,c0
0.35659,0.226125,c1
0.194104,0.744122,c1
-0.754866,-0.194775,c1
0.638815,0.446011,c1
1.132903,0.715895,c0
1.059318,0.455766,c0
0.781502,0.927204,c0
0.576644,0.857191,c1
0.147806,0.456512,c1
0.462867,-0.053952,c0
0.914455,0.553265,c0
0.595071,-0.655806,c1
0.623775,-0.168053,c1
0.335934,0.240045,c0
1.518026,2.014205,c1
0.833338,0.367026,c0
0.164755,0.336297,c1
0.935094,0.321953,c0
0.990055,0.607366,c0
1.093763,0.75496,c0
1.075297,0.625397,c0
0.792996,0.603998,c1
0.148746,0.066837,c0
0.912939,0.552893,c0
0.625918,0.834131,c1
0.111884,0.164233,c0
0.385555,-0.635009,c1
0.197821,0.849794,c1
0.479248,0.516483,c1
0.193368,0.30334,c1
1.360731,0.438553,c0
0.075432,0.650133,c1
0.114201,0.086194,c0
-0.406741,-0.233224,c0
0.466522,1.776289,c1
0.368145,0.736641,c1
-0.288743,0.537249,c0
0.099206,0.154951,c0
0.672078,0.299659,c1
1.229814,0.628246,c0
0.182567,-0.196962,c0
0.134198,0.534793,c1
-0.217233,-0.228244,c1
0.945022,0.210262,c0
-0.713608,0.795765,c1
0.324969,0.078349,c1
0.247782,0.122375,c1
1.587113,2.88754,c1
0.180788,0.173694,c1
0.390102,0.713646,c1
0.159783,0.47623,c1
0.778798,0.694853,c1
0.238139,0.588934,c1
-0.886336,1.764383,c1
1.011232,0.584489,c0
0.436565,0.135257,c1
0.784182,1.411032,c1
1.132043,0.334991,c0
0.678704,0.434392,c1
0.275211,-0.030613,c1
1.404573,-0.831218,c1
1.120768,0.50337,c0
0.259243,0.274723,c1
0.237166,0.190385,c0
-0.55196,1.740236,c1
0.177243,-0.253381,c1
-0.270298,0.850022,c1
0.07784,0.078068,c1
0.854882,0.496516,c0
0.472211,0.441935,c1
0.786747,0.850658,c1
-0.112031,-0.004975,c0
0.433816,0.475536,c1
0.024423,0.112096,c0
-0.06054,-1.023196,c1
0.986735,0.414833,c0
-0.048035,-0.610936,c1
0.001953,0.128743,c0
-0.784276,-0.78606,c1
0.129292,0.397273,c0
0.829242,0.737776,c0
-0.045311,0.206641,c0
-0.384814,-0.220482,c0
0.134048,0.039811,c0
-0.254652,-1.07596,c1
0.456593,0.565671,c1
0.430279,0.738684,c1
1.817669,0.210699,c1
-0.653159,0.928082,c1
0.464037,0.519754,c1
-0.014581,0.336953,c0
0.348523,0.709079,c1
1.483586,-0.193678,c1
0.284908,0.422868,c0
0.213519,0.11308,c1
1.753939,1.375396,c1
-1.012001,0.784396,c1
0.510028,0.931883,c1
0.326633,0.349624,c1
1.049432,1.08109,c1
0.972302,0.489668,c0
0.104715,-0.96938,c1
0.7703,0.679694,c0
0.916286,0.605456,c0
0.021814,1.935705,c1
