@relation dataCircleGSev1Sp1Train

@attribute x numeric
@attribute y numeric
@attribute class {0,1}

@data
0.350395,0.095046,0
0.473468,0.583694,1
0.115968,0.078085,0
0.447701,0.313451,1
0.19215,0.47136,0
0.357969,0.587134,1
0.360822,0.336477,0
0.457335,0.621747,1
0.011081,0.233113,0
0.614379,0.464292,1
0.119393,0.63437,0
0.644955,0.363297,1
0.601185,0.117607,0
0.550439,0.63405,1
0.940407,0.415557,0
0.40881,0.671201,1
0.921315,0.542025,0
0.625154,0.366551,1
0.320382,0.657881,0
0.614114,0.417874,1
0.789684,0.215886,0
0.461285,0.620958,1
0.862149,0.14377,0
0.438024,0.464972,1
0.710129,0.142832,0
0.530981,0.402411,1
0.046425,0.270999,0
0.571154,0.387757,1
0.340164,0.139813,0
0.510077,0.668634,1
0.062254,0.303957,0
0.539475,0.35007,1
0.834589,0.945255,0
0.662268,0.542648,1
0.444027,0.757435,0
0.383908,0.540292,1
0.659553,0.107523,0
0.387898,0.399009,1
0.125379,0.241267,0
0.601337,0.473065,1
0.749978,0.884405,0
0.48469,0.384339,1
0.704789,0.393082,0
0.509106,0.342868,1
0.207079,0.371579,0
0.509743,0.653311,1
0.232444,0.681034,0
0.357081,0.463541,1
0.581848,0.123304,0
0.445838,0.594735,1
0.037413,0.794502,0
0.377712,0.408427,1
0.820034,0.318044,0
0.443386,0.582186,1
0.752423,0.967694,0
0.645014,0.558567,1
0.357867,0.67285,0
0.537336,0.404311,1
0.882843,0.934033,0
0.420217,0.379975,1
0.356178,0.289505,0
0.58189,0.432458,1
0.554905,0.287817,0
0.438651,0.613374,1
0.208042,0.565205,0
0.463008,0.376743,1
0.093426,0.213934,0
0.538355,0.329772,1
0.934461,0.490361,0
0.497448,0.410039,1
0.571598,0.851651,0
0.576405,0.637722,1
0.221804,0.858593,0
0.446951,0.511025,1
0.726068,0.018172,0
0.465739,0.677557,1
0.992456,0.213499,0
0.410347,0.507241,1
0.765402,0.104673,0
0.392374,0.424083,1
0.647964,0.324234,0
0.461616,0.583738,1
0.961724,0.686965,0
0.626891,0.365376,1
0.951887,0.367945,0
0.52699,0.514025,1
0.808986,0.626687,0
0.558363,0.608269,1
0.701708,0.610958,0
0.449432,0.597592,1
0.068325,0.336051,0
0.302939,0.503536,1
0.093071,0.239777,0
0.67412,0.52984,1
0.845206,0.378891,0
0.307961,0.507592,1
0.486599,0.264187,0
0.378498,0.413381,1
0.969588,0.860778,0
0.341592,0.536517,1
0.839396,0.722214,0
0.401573,0.64179,1
0.162826,0.608972,0
0.343616,0.549269,1
0.679249,0.137562,0
0.459091,0.550363,1
0.622416,0.94145,0
0.676803,0.424068,1
0.042578,0.613246,0
0.628463,0.381736,1
0.350375,0.755984,0
0.62883,0.547945,1
0.016303,0.003058,0
0.460169,0.667888,1
0.736021,0.31317,0
0.477837,0.402933,1
0.986227,0.520181,0
0.571396,0.455967,1
0.326612,0.368112,0
0.64092,0.548096,1
0.36701,0.341247,0
0.435648,0.527708,1
0.71082,0.744916,0
0.475708,0.622012,1
0.156715,0.907199,0
0.418423,0.636849,1
0.53472,0.034448,0
0.581917,0.484944,1
0.895265,0.725482,0
0.371219,0.470866,1
0.349875,0.346988,0
0.353583,0.47657,1
0.016429,0.114096,0
0.545668,0.446279,1
0.270706,0.751186,0
0.372703,0.615937,1
0.881767,0.856913,0
0.532926,0.689912,1
0.125962,0.040907,0
0.507584,0.359685,1
0.801678,0.80641,0
0.433966,0.6627,1
0.749215,0.05762,0
0.464885,0.320255,1
0.046163,0.862875,0
0.433637,0.331088,1
0.23986,0.321013,0
0.404302,0.512096,1
0.762064,0.013961,0
0.554218,0.537532,1
0.521283,0.203632,0
0.475622,0.385573,1
0.517625,0.726304,0
0.543619,0.405709,1
0.608263,0.068113,0
0.608243,0.540112,1
0.903419,0.769771,0
0.513986,0.354681,1
0.552881,0.277375,0
0.636257,0.568795,1
0.104453,0.537428,0
0.520124,0.329062,1
0.108825,0.028921,0
0.452907,0.61405,1
0.680059,0.746365,0
0.365696,0.445834,1
0.61397,0.001908,0
0.475102,0.446267,1
0.785565,0.986775,0
0.672166,0.489287,1
0.35671,0.231546,0
0.539673,0.483534,1
0.639085,0.093224,0
0.628738,0.60033,1
0.126894,0.711583,0
0.531942,0.5564,1
0.291628,0.383743,0
0.52481,0.686176,1
0.140883,0.816655,0
0.508085,0.376951,1
0.292624,0.127673,0
0.61777,0.652751,1
0.699373,0.363556,0
0.410969,0.548169,1
0.43951,0.84073,0
0.357329,0.625604,1
0.071185,0.399162,0
0.585995,0.611591,1
0.275636,0.611759,0
0.634143,0.637051,1
0.025188,0.330066,0
0.470051,0.353249,1
0.373369,0.211485,0
0.474138,0.631614,1
0.601104,0.754097,0
0.345059,0.410357,1
0.914423,0.707455,0
0.381033,0.625986,1
0.110342,0.5222,0
0.546622,0.473775,1
0.60004,0.875281,0
0.639467,0.517158,1
0.148593,0.395926,0
0.428081,0.553221,1
0.698948,0.216766,0
0.626337,0.639231,1
0.621061,0.175911,0
0.514165,0.563535,1
0.072586,0.95388,0
0.646395,0.559432,1
0.690331,0.388276,0
0.603616,0.375723,1
0.687822,0.230153,0
0.372407,0.451665,1
0.571143,0.206031,0
0.607235,0.39081,1
0.614677,0.880529,0
0.317383,0.462703,1
0.389835,0.962828,0
0.400336,0.638753,1
0.541501,0.012055,0
0.543293,0.531808,1
0.998032,0.915621,0
0.633733,0.557562,1
0.131921,0.188356,0
0.582989,0.492822,1
0.897841,0.020793,0
0.483904,0.380734,1
0.248023,0.516241,0
0.482182,0.637609,1
0.491515,0.893288,0
0.495289,0.521291,1
0.076707,0.210118,0
0.484052,0.457423,1
0.527583,0.088421,0
0.69454,0.533113,1
0.804867,0.394554,0
0.410252,0.503878,1
0.451062,0.99362,0
0.607527,0.505009,1
0.97838,0.624281,0
0.419438,0.502823,1
0.105288,0.578443,0
0.403102,0.333084,1
0.094202,0.248338,0
0.624215,0.576585,1
0.420723,0.087607,0
0.465445,0.536015,1
0.777712,0.012862,0
0.368191,0.391501,1
0.38514,0.047261,0
0.429583,0.598574,1
0.196405,0.977202,0
0.473695,0.385588,1
0.182779,0.961624,0
0.370395,0.622209,1
0.400324,0.237904,0
0.479676,0.511951,1
0.659093,0.372918,0
0.551087,0.322223,1
0.760618,0.70597,0
0.394204,0.389271,1
0.948691,0.646048,0
0.513949,0.54279,1
0.439886,0.172309,0
0.611925,0.416333,1
0.010481,0.155763,0
