dataset,Ek,treeType,Pdisc,NumFolds,Ncentro,MS,SumStra,FinalClassif,Pconf,Pprun,PprunMaxBoxes,Pmerg,Pgrow,PprunDS,Etf,Esim,EuseSameRandomSamples,Eparallel,pctCorrect,pctIncorrect,pctUnclassified,precisionClass0,recallClass0,specificityClass0,accuracyClass0,ROCAUCClass0,classifierBuildTimeMax,classifierBuildTimeAvg,classifierBuildPeakMemUsageMax,classifierBuildPeakMemUsageAvg,classifierClassificationTimeMax,classifierClassificationTimeAvg,classifierClassificationPeakMemUsageMax,classifierClassificationPeakMemUsageAvg,numClasses,numAttributes,numInstances,conflictBoxes,mergedBoxesCount,cubesBuiltMax,cubesBuiltAvg,cubeCountRatioAfterMergingMax,cubeCountRatioAfterMergingAvg,cubeCompressionRatioMax,cubeCompressionRatioAvg,finalCubeCountMax,finalCubeCountAvg,cutBoxesAtBuildTreeMax,cutBoxesAtBuildTreeAvg,treeDepthMax,treeDepthAvg
5,1,7,0,10,0.8,1,0,0,,,,,,,,,,,92.7093132643,7.2906867357,0,94.9374627755,96.3141993958,81.9532908705,93.1326434619,0.9052424295,418,211.9,66362328,57107425.6,4,1.9,3873736,2720631.2,3,22,2126,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,1,7,0,10,0.8,1,0,0,,,,,,,,,,,99.706744868,0.293255132,0,99.5169082126,99.7578692494,99.9136069114,99.8900293255,0.9983573808,645,607.6,170000336,142693228,5,1.5,3411168,3094789.6,4,25,5456,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,1,7,0,10,0.8,1,0,0,,,,,,,,,,,92.4581612693,7.5418387307,0,94.2049981891,93.2926829268,91.1748483177,92.4581612693,0.9428767882,1248,1150.1,168165328,156904310.4,2,0.9,3384968,3034044.8,2,58,4601,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,1,7,0,10,0.8,1,0,0,,,,,,,,,,,84.079915878,15.920084122,0,85.7516138949,90.4800518975,72.278708134,84.079915878,0.8261772311,6522,5745.7,637504408,44851718.4,2,1.4,11719704,7857886.4,2,11,19020,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,7,0,10,0.8,1,0,0,,,,,,,,,,,87.46,12.54,0,95.717884131,96.3244613435,99.8230180626,99.685,0.9841687724,2785,2642.1,515591944,57605872,7,6.7,10988256,10986166.4,26,17,20000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,4,7,0,10,0.8,1,0,0,,,,,,,,0,,,92.756349953,7.243650047,0,95.0477326969,96.253776435,82.3779193206,93.1796801505,0.9065618566,214,206.4,87754008,87753814.4,1,0.1,10971064,10971032,3,22,2126,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,4,7,0,10,0.8,1,0,0,,,,,,,,0,,,99.706744868,0.293255132,0,99.5169082126,99.7578692494,99.9136069114,99.8900293255,0.9983573808,935,774.5,296173064,-133325522.4,1,0.4,10973848,10973789.6,4,25,5456,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,4,7,0,10,0.8,1,0,0,,,,,,,,0,,,92.5016300804,7.4983699196,0,94.2091929063,93.3644189383,91.1748483177,92.5016300804,0.9411103927,1650,1588.9,361988096,-86156376.8,1,0.2,10973152,10973103.2,2,58,4601,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,4,7,0,10,0.8,1,0,0,,,,,,,,0,,,84.1798107256,15.8201892744,0,85.8714890342,90.4881608823,72.54784689,84.1798107256,0.8289868403,6879,6682.7,532932624,25837873.6,2,1.5,10206464,6765178.4,2,11,19020,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,4,7,0,10,0.8,1,0,0,,,,,,,,0,,,87.415,12.585,0,95.2261306533,96.0709759189,99.8021966582,99.655,0.9835025666,1855,1697.4,453705680,-142904646.4,13,7.8,8764256,6040303.2,26,17,20000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,16,7,0,10,0.8,1,0,0,,,,,,,,0,,,92.7093132643,7.2906867357,0,95.1583980873,96.1933534743,82.8025477707,93.2267168391,0.9052379395,233,208.5,92542552,85812015.2,1,0.3,8414784,8414752,3,22,2126,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,16,7,0,10,0.8,1,0,0,,,,,,,,0,,,99.6517595308,0.3482404692,0,99.3961352657,99.6368038741,99.8920086393,99.853372434,0.9976440626,838,773.2,319367936,-110519188,1,0.7,8403368,8396229.6,4,25,5456,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,16,7,0,10,0.8,1,0,0,,,,,,,,0,,,92.5450988915,7.4549011085,0,93.9274164571,93.7589670014,90.6784335356,92.5450988915,0.9410608344,1729,1654.1,360731952,-69619976.8,1,0.6,8392592,8392304,2,58,4601,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,16,7,0,10,0.8,1,0,0,,,,,,,,0,,,83.9957939012,16.0042060988,0,85.5916615573,90.5611417451,71.8899521531,83.9957939012,0.8287378176,8401,7426.7,453144328,-76735260,2,1.4,6873336,5747256,2,11,19020,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,16,7,0,10,0.8,1,0,0,,,,,,,,0,,,87.39,12.61,0,95.6962025316,95.8174904943,99.8230180626,99.665,0.9821489444,2033,1763.3,288887384,-187475056.8,8,7.2,7082960,5204849.6,26,17,20000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
