dataset,Ek,treeType,Pdisc,NumFolds,Ncentro,MS,SumStra,FinalClassif,Pconf,Pprun,PprunMaxBoxes,Pmerg,Pgrow,PprunDS,Etf,Esim,EuseSameRandomSamples,Eparallel,pctCorrect,pctIncorrect,pctUnclassified,precisionClass0,recallClass0,specificityClass0,accuracyClass0,ROCAUCClass0,classifierBuildTimeMax,classifierBuildTimeAvg,classifierBuildPeakMemUsageMax,classifierBuildPeakMemUsageAvg,classifierClassificationTimeMax,classifierClassificationTimeAvg,classifierClassificationPeakMemUsageMax,classifierClassificationPeakMemUsageAvg,numClasses,numAttributes,numInstances,conflictBoxes,mergedBoxesCount,cubesBuiltMax,cubesBuiltAvg,cubeCountRatioAfterMergingMax,cubeCountRatioAfterMergingAvg,cubeCompressionRatioMax,cubeCompressionRatioAvg,finalCubeCountMax,finalCubeCountAvg,cutBoxesAtBuildTreeMax,cutBoxesAtBuildTreeAvg,treeDepthMax,treeDepthAvg
Cardiotocography.arff,1,opc,0,10,0.01,DAC,Distance,J48,,,,,,,,,,,77.8457196613,22.1542803387,0,77.8457196613,100,0,77.8457196613,0.4982905818,161,27.2,2525528,2525524.8,3,1.5,2527256,2527224,3,22,2126,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
WallFollowingRobotNavigation.arff,1,opc,0,10,0.01,DAC,Distance,J48,,,,,,,,,,,40.4142228739,59.5857771261,0,NaN,0,100,84.8607038123,0.4985472155,102,29.6,20203824,4040817.6,5,1.6,2529888,2023936,4,25,5456,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spambase.arff,1,opc,0,10,0.01,DAC,Distance,J48,,,,,,,,,,,60.5955227125,39.4044772875,0,60.5955227125,100,0,60.5955227125,0.4991337669,23,19.3,2525752,505230.4,1,0.6,2529240,253039.2,2,58,4601,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MAGICGammaTelescope.arff,1,opc,0,10,0.01,DAC,Distance,J48,,,,,,,,,,,72.9915878023,27.0084121977,0,71.3261011323,97.5673045735,27.6764354067,72.9915878023,0.6437320276,327,158.9,178055672,139711872.8,5,1.3,5255688,4699594.4,2,11,19020,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LetterRecognition.arff,1,opc,0,10,0.01,DAC,Distance,J48,,,,,,,,,,,22.865,77.135,0,49.0842490842,50.9505703422,97.8293685909,95.98,0.7914240884,48,44.3,5240704,2620326.4,4,3.7,5256504,2628303.2,26,17,20000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cardiotocography.arff,4,opc,0,10,0.01,DAC,Distance,J48,,,,,,,,0,,,77.8457196613,22.1542803387,0,77.8457196613,100,0,77.8457196613,0.4988486283,70,13.1,5240704,3144361.6,0,0,5242208,2096948,3,22,2126,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
WallFollowingRobotNavigation.arff,4,opc,0,10,0.01,DAC,Distance,J48,,,,,,,,0,,,40.4142228739,59.5857771261,0,NaN,0,100,84.8607038123,0.499031477,28,20.3,5240704,5240502.4,1,0.3,5244872,5244840,4,25,5456,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spambase.arff,4,opc,0,10,0.01,DAC,Distance,J48,,,,,,,,0,,,60.5955227125,39.4044772875,0,60.5955227125,100,0,60.5955227125,0.499406981,24,22.4,5240744,4716471.2,1,0.2,5244192,5244156,2,58,4601,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MAGICGammaTelescope.arff,4,opc,0,10,0.01,DAC,Distance,J48,,,,,,,,0,,,72.039957939,27.960042061,0,71.1698659906,95.6049302627,28.5885167464,72.039957939,0.6012915498,199,150.8,136313360,126860253.6,1,0.7,5258168,5257745.6,2,11,19020,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LetterRecognition.arff,4,opc,0,10,0.01,DAC,Distance,J48,,,,,,,,0,,,23.505,76.495,0,22.1678321678,40.1774397972,94.2064442247,92.075,0.7231592074,267,70.6,15728624,6291552.8,4,3.7,5258984,4733072.8,26,17,20000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cardiotocography.arff,16,opc,0,10,0.01,DAC,Distance,J48,,,,,,,,0,,,77.8457196613,22.1542803387,0,77.8457196613,100,0,77.8457196613,0.4991507431,168,26.9,5243184,5242982.4,0,0,5244688,5244656,3,22,2126,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
WallFollowingRobotNavigation.arff,16,opc,0,10,0.01,DAC,Distance,J48,,,,,,,,0,,,40.4142228739,59.5857771261,0,NaN,0,100,84.8607038123,0.4993341404,26,24.6,5243184,5242982.4,0,0,5247352,5247320,4,25,5456,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spambase.arff,16,opc,0,10,0.01,DAC,Distance,J48,,,,,,,,0,,,60.5955227125,39.4044772875,0,60.5955227125,100,0,60.5955227125,0.4997518124,32,29.9,5243184,5242982.4,1,0.1,5246672,5246636,2,58,4601,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MAGICGammaTelescope.arff,16,opc,0,10,0.01,DAC,Distance,J48,,,,,,,,0,,,70.5888538381,29.4111461619,0,70.7195571956,93.245215699,28.8127990431,70.5888538381,0.6014246121,337,187.3,167794456,134252768.8,1,0.7,5257640,4731217.6,2,11,19020,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LetterRecognition.arff,16,opc,0,10,0.01,DAC,Distance,J48,,,,,,,,0,,,25.555,74.445,0,64.1233766234,50.0633713561,98.8496174067,96.925,0.7882267559,139,68.8,26210584,6814198.4,4,3.4,5257400,4205923.2,26,17,20000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cardiotocography.arff,1,opc,0,10,0.01,DAC,Greedy,J48,,,,,,,,,,,77.8457196613,22.1542803387,0,77.8457196613,100,0,77.8457196613,0.4982905818,5,3.4,5241640,5241402.4,1,0.1,5243104,5243072,3,22,2126,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
WallFollowingRobotNavigation.arff,1,opc,0,10,0.01,DAC,Greedy,J48,,,,,,,,,,,40.4142228739,59.5857771261,0,NaN,0,100,84.8607038123,0.4985472155,8,7.6,5241600,3669024,1,0.4,5245768,3672054.4,4,25,5456,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spambase.arff,1,opc,0,10,0.01,DAC,Greedy,J48,,,,,,,,,,,60.5955227125,39.4044772875,0,60.5955227125,100,0,60.5955227125,0.4991337669,124,22.4,10482624,5765527.2,1,0.2,5245088,5245052,2,58,4601,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MAGICGammaTelescope.arff,1,opc,0,10,0.01,DAC,Greedy,J48,,,,,,,,,,,75.8412197687,24.1587802313,0,81.2454567482,81.5682776516,65.2811004785,75.8412197687,0.7496292819,54,44,5241600,5241398.4,1,0.5,5256616,4730941.6,2,11,19020,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LetterRecognition.arff,1,opc,0,10,0.01,DAC,Greedy,J48,,,,,,,,,,,38.745,61.255,0,50.6242905789,56.5272496831,97.7356722711,96.11,0.7906042951,233,54.4,26206528,7337913.6,5,4.1,5257400,5257371.2,26,17,20000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cardiotocography.arff,4,opc,0,10,0.01,DAC,Greedy,J48,,,,,,,,0,,,77.8457196613,22.1542803387,0,77.8457196613,100,0,77.8457196613,0.4988486283,4,3.7,5241600,5241398.4,1,0.1,5243104,5243072,3,22,2126,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
WallFollowingRobotNavigation.arff,4,opc,0,10,0.01,DAC,Greedy,J48,,,,,,,,0,,,40.4142228739,59.5857771261,0,NaN,0,100,84.8607038123,0.499031477,9,8.7,5241600,5241398.4,1,0.3,5245768,5245736,4,25,5456,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spambase.arff,4,opc,0,10,0.01,DAC,Greedy,J48,,,,,,,,0,,,60.5955227125,39.4044772875,0,60.5955227125,100,0,60.5955227125,0.499406981,149,25.9,10482624,5765527.2,1,0.1,5245088,5245052,2,58,4601,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MAGICGammaTelescope.arff,4,opc,0,10,0.01,DAC,Greedy,J48,,,,,,,,0,,,76.4248159832,23.5751840168,0,79.058056872,86.5715212455,57.7153110048,76.4248159832,0.7341180053,156,56.7,20965136,4193150.4,1,0.5,5256616,-1096372.8,2,11,19020,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LetterRecognition.arff,4,opc,0,10,0.01,DAC,Greedy,J48,,,,,,,,0,,,36.585,63.415,0,44.9907235622,61.4702154626,96.9132267971,95.515,0.7937765244,143,46.9,20965136,6813774.4,5,4,5257400,5257371.2,26,17,20000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cardiotocography.arff,16,opc,0,10,0.01,DAC,Greedy,J48,,,,,,,,0,,,77.8457196613,22.1542803387,0,77.8457196613,100,0,77.8457196613,0.4991507431,8,7.4,5241600,5241398.4,1,0.4,5243104,5243072,3,22,2126,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
WallFollowingRobotNavigation.arff,16,opc,0,10,0.01,DAC,Greedy,J48,,,,,,,,0,,,40.4142228739,59.5857771261,0,NaN,0,100,84.8607038123,0.4993341404,14,13.4,5241600,5241398.4,1,0.3,5245768,5245736,4,25,5456,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
spambase.arff,16,opc,0,10,0.01,DAC,Greedy,J48,,,,,,,,0,,,60.5955227125,39.4044772875,0,60.5955227125,100,0,60.5955227125,0.4997518124,18,16.8,5241600,5241398.4,1,0.2,5245088,4720560,2,58,4601,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MAGICGammaTelescope.arff,16,opc,0,10,0.01,DAC,Greedy,J48,,,,,,,,0,,,75.6309148265,24.3690851735,0,78.7996707326,85.3876094713,57.6405502392,75.6309148265,0.7372836133,59,57,5241600,5241398.4,2,0.5,5256616,5256587.2,2,11,19020,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LetterRecognition.arff,16,opc,0,10,0.01,DAC,Greedy,J48,,,,,,,,0,,,33.81,66.19,0,48.2474226804,59.3155893536,97.3869137473,95.885,0.8236999372,107,52.7,41934472,8910708,5,3.9,5257400,5257371.2,26,17,20000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cardiotocography.arff,1,opc,0,10,0.1,DAC,Distance,J48,,,,,,,,,,,83.3019755409,16.6980244591,0,92.5045703839,91.7220543807,73.8853503185,87.7704609595,0.8524910039,95,35.8,5241600,5241398.4,1,0.1,5243104,5243072,3,22,2126,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
